lokasi,judul,deskripsi,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan,catatan
"Klojen, Malang","DIJUAL Rumah dengan 2 Bangunan Bersebelahan Daerah Rampal Celaket Kondisi Sangat Tenang, Lokasi Strategis Tengah Kota Malang  Spesifikasi : Sertifi...","DIJUAL Rumah dengan 2 Bangunan Bersebelahan Daerah Rampal Celaket Kondisi Sangat Tenang, Lokasi Strategis Tengah Kota Malang  Spesifikasi : Sertifi...",1500000000.0,6.0,2.0,238.0,200.0,2026-02-15,Klojen,Aman
"Lowokwaru, Malang",Spesifikasi: Jl Papa-papa Luas tanah : 408 m2 Luas bangunan : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang K...,Spesifikasi: Jl Papa-papa Luas tanah : 408 m2 Luas bangunan : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang K...,4000000000.0,6.0,3.0,408.0,280.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang",Selling point :  - Akses mudah - lingkungan aman dan nyaman  - cocok untuk sumber pasif income rumah kost maupun disewakan  - dekat dengan berbagai...,Selling point :  - Akses mudah - lingkungan aman dan nyaman  - cocok untuk sumber pasif income rumah kost maupun disewakan  - dekat dengan berbagai...,1700000000.0,6.0,3.0,106.0,105.0,2026-02-15,Lowokwaru,Ada kata 'kos/kost' di judul
"Lowokwaru, Malang","Spesifikasi: posisi strategis di kota Malang sangat cocok untuk usaha produksi atau lapangan olahraga Area dekat kampus ABM, sekolah Hwaind, pasar ...","Spesifikasi: posisi strategis di kota Malang sangat cocok untuk usaha produksi atau lapangan olahraga Area dekat kampus ABM, sekolah Hwaind, pasar ...",8500000000.0,5.0,4.0,1211.0,900.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang","Spesifikasi: Luas tanah: 117 m² Luas bangunan: 162 m² Lantai: 2 Kamar tidur: 3 Kamar mandi: 2 AC: 3 unit Carport: ada Kusen, daun jendela, dan pi...","Spesifikasi: Luas tanah: 117 m² Luas bangunan: 162 m² Lantai: 2 Kamar tidur: 3 Kamar mandi: 2 AC: 3 unit Carport: ada Kusen, daun jendela, dan pi...",1600000000.0,3.0,2.0,117.0,162.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang",Spesifikasi: Luas tanah 193 m² Luas bangunan 132 m² (realnya 200 m²) Kamae tidur 6 Kamar mandi 3 Sertifikat Hak Milik Air PDAM Listrik 3300 watt...,Spesifikasi: Luas tanah 193 m² Luas bangunan 132 m² (realnya 200 m²) Kamae tidur 6 Kamar mandi 3 Sertifikat Hak Milik Air PDAM Listrik 3300 watt...,3250000000.0,6.0,3.0,193.0,132.0,2026-02-15,Lowokwaru,Aman
"Tasikmadu, Malang","Rumah Siap Huni 2,5 lantai Dekat Suhat, Kota Malang   Berada di kawasan dekat Kampus2 Nasional dan Internasional : UB, ITN, UMM, UNISMA, Polinema, ...","Rumah Siap Huni 2,5 lantai Dekat Suhat, Kota Malang   Berada di kawasan dekat Kampus2 Nasional dan Internasional : UB, ITN, UMM, UNISMA, Polinema, ...",950000000.0,3.0,2.0,72.0,110.0,2026-02-15,Lowokwaru,Aman
"Araya, Malang",Spesifikasi : Luas tanah : 416 m²  Luas Bangun : 400 m² Lantai  : 2 lantai Status setifikat : SHM Menghadap : Kamar Tidur : 6+1 Kamar Mandi : 3+1...,Spesifikasi : Luas tanah : 416 m²  Luas Bangun : 400 m² Lantai  : 2 lantai Status setifikat : SHM Menghadap : Kamar Tidur : 6+1 Kamar Mandi : 3+1...,6500000000.0,7.0,4.0,416.0,400.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang",DIJUAL RUMAH - HITUNG TANAH Lokasi jln Teluk Malang  LT : 298 m2 LB : 270 KT : 6  KM : 2 Ruang Makan Ruang Cuci baju Ruang keluarga Taman di belaka...,DIJUAL RUMAH - HITUNG TANAH Lokasi jln Teluk Malang  LT : 298 m2 LB : 270 KT : 6  KM : 2 Ruang Makan Ruang Cuci baju Ruang keluarga Taman di belaka...,1200000000.0,6.0,2.0,298.0,270.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang",Rumah Villa Di Batu - View Pegunungan 360deg,Rumah Villa Di Batu - View Pegunungan 360deg,1500000000.0,3.0,2.0,84.0,150.0,2026-02-15,Blimbing,Aman
"Lowokwaru, Malang","Dijual Rumah Siap Huni di Joyoagung, Kota Malang   Spesifikasi : Luas Tanah : 70 m2 Luas Bangunan : 80 m2 Dimensi : 7x10 Kamar Tidur : 3 Kamar Mand...","Dijual Rumah Siap Huni di Joyoagung, Kota Malang   Spesifikasi : Luas Tanah : 70 m2 Luas Bangunan : 80 m2 Dimensi : 7x10 Kamar Tidur : 3 Kamar Mand...",1200000000.0,3.0,2.0,70.0,80.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang",Spesifikasi: Legalitas HAK GB Luas tanah : 72m²  Luas Bangunan :  120m² Kamar Tidur : 3 ( 1 kamar tidur utama dengan bath up)  kamar Mandi : 2+1 ...,Spesifikasi: Legalitas HAK GB Luas tanah : 72m²  Luas Bangunan :  120m² Kamar Tidur : 3 ( 1 kamar tidur utama dengan bath up)  kamar Mandi : 2+1 ...,1050000000.0,3.0,3.0,72.0,120.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang","Rumah Dijual di Area Bunga-bunga, Lowokwaru, Malang Luas tanah 193 m² Luas bangunan 132 m² (realnya 200 m²) Kamae tidur 6 Kamar mandi 3 Sertifik...","Rumah Dijual di Area Bunga-bunga, Lowokwaru, Malang Luas tanah 193 m² Luas bangunan 132 m² (realnya 200 m²) Kamae tidur 6 Kamar mandi 3 Sertifik...",3250000000.0,6.0,3.0,193.0,132.0,2026-02-15,Lowokwaru,Aman
"Tasikmadu, Malang",Hunian ditengah kota Malang De daun tahap 2 Lokasi tasik madu  Promo 375 juta berbatas waktu  (Harga normal 450  juta)  ?Rumah Type 36/64 ?2 Kamar ...,Hunian ditengah kota Malang De daun tahap 2 Lokasi tasik madu  Promo 375 juta berbatas waktu  (Harga normal 450  juta)  ?Rumah Type 36/64 ?2 Kamar ...,375000000.0,2.0,1.0,64.0,36.0,2026-02-15,Lowokwaru,Aman
"Blimbing, Malang","Spesifikasi : Luas tanah 150 m2 Luas bangunan 106 m2 Bangunan 1,5  lantai  Kamar tidur 3 Kamar mandi 2 Taman depan dan belakang Garasi 1 mobil List...","Spesifikasi : Luas tanah 150 m2 Luas bangunan 106 m2 Bangunan 1,5  lantai  Kamar tidur 3 Kamar mandi 2 Taman depan dan belakang Garasi 1 mobil List...",1300000000.0,3.0,2.0,150.0,106.0,2026-02-15,Blimbing,Aman
"Araya, Malang",Selangkah ke Indomaret bisa buat tempat usaha di Araya Malang  Luas Tanah : 105 M2 (5 x 21) Luas  bangunan : 200 M2 (2 lantai) Kamar tidur : 3 KT  ...,Selangkah ke Indomaret bisa buat tempat usaha di Araya Malang  Luas Tanah : 105 M2 (5 x 21) Luas  bangunan : 200 M2 (2 lantai) Kamar tidur : 3 KT  ...,2500000000.0,3.0,2.0,105.0,200.0,2026-02-15,Blimbing,Aman
"Lowokwaru, Malang","Dijual Rumah daerah bunga Cengkeh Lowokwaru Malang Luas tanah : 500 m²  Luas Bangun : 385 m² Dimensi : 12,5  x 40 m Lantai  : 2 lantai Status set...","Dijual Rumah daerah bunga Cengkeh Lowokwaru Malang Luas tanah : 500 m²  Luas Bangun : 385 m² Dimensi : 12,5  x 40 m Lantai  : 2 lantai Status set...",6000000000.0,6.0,5.0,500.0,385.0,2026-02-15,Lowokwaru,Aman
"Sawojajar, Malang",Jual Cepat Rumah 2 Lantai Lokasi Dirgantara Sawojajar  Bangunan siap huni dan terawat  Lokasi dekat ke - ruko wow - exit tol ki ageng gribig sawoja...,Jual Cepat Rumah 2 Lantai Lokasi Dirgantara Sawojajar  Bangunan siap huni dan terawat  Lokasi dekat ke - ruko wow - exit tol ki ageng gribig sawoja...,1800000000.0,4.0,3.0,180.0,180.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang",Dijual Rumah 2 Lantai  Lokasi Area Sulfat Blimbing Malang  Akses jalan mobil simpangan  Luas tanah 92 m2 Luas bangunan 120 m2 4 kamar tidur 2 kamar...,Dijual Rumah 2 Lantai  Lokasi Area Sulfat Blimbing Malang  Akses jalan mobil simpangan  Luas tanah 92 m2 Luas bangunan 120 m2 4 kamar tidur 2 kamar...,820000000.0,4.0,2.0,92.0,120.0,2026-02-15,Blimbing,Aman
"Lowokwaru, Malang","Dijual Rumah di Jalan Ikan - ikan, Tunjungsekar, Lowokwaru Malang  Dekat dengan kantor Kelurahan Tunjungsekar  Luas Tanah 211 m² Luas Bangunan 300...","Dijual Rumah di Jalan Ikan - ikan, Tunjungsekar, Lowokwaru Malang  Dekat dengan kantor Kelurahan Tunjungsekar  Luas Tanah 211 m² Luas Bangunan 300...",1800000000.0,6.0,2.0,211.0,300.0,2026-02-15,Lowokwaru,Aman
"Sawojajar, Malang","Rumah Nyaman 2 lantai, Bangunan bagus, terawat, Siap huni, Kamar tidur 4 Kamar mandi 3,halaman belakang, Garasi dan caroort. Dimensi Tanah  9x20 . ...","Rumah Nyaman 2 lantai, Bangunan bagus, terawat, Siap huni, Kamar tidur 4 Kamar mandi 3,halaman belakang, Garasi dan caroort. Dimensi Tanah  9x20 . ...",1800000000.0,4.0,3.0,180.0,180.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang",Spesifikasi : - Legalitas SHM - Luas tanah 134m² - Luas bangunan 120m² - Kamar tidur 3 - Kamar mandi 1 - Lantai 1 - Carport 1 mobil - Listrik 1.3...,Spesifikasi : - Legalitas SHM - Luas tanah 134m² - Luas bangunan 120m² - Kamar tidur 3 - Kamar mandi 1 - Lantai 1 - Carport 1 mobil - Listrik 1.3...,1150000000.0,3.0,1.0,134.0,120.0,2026-02-15,Blimbing,Aman
"Dieng, Malang",Spesifikasi : Luas tanah 87 m² (lebar 6) Luas bangunan 150 m² (+/-) Kamar tidur 3 Kamar mandi 2 Sertifikat Hak Milik Listrik 3300 watt  Keunggula...,Spesifikasi : Luas tanah 87 m² (lebar 6) Luas bangunan 150 m² (+/-) Kamar tidur 3 Kamar mandi 2 Sertifikat Hak Milik Listrik 3300 watt  Keunggula...,1250000000.0,3.0,2.0,87.0,150.0,2026-02-15,Sukun,Aman
"Sawojajar, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Sawojajar, Malang.  Rumah ini menawarkan kelengkapan fasilita...","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Sawojajar, Malang.  Rumah ini menawarkan kelengkapan fasilita...",3600000000.0,5.0,3.0,383.0,300.0,2026-02-15,Blimbing,Aman
"Araya, Malang","Rumah Jual Cluster Favorit Golf Araya Fasilitas Perumahan Lengkap Akses Mudah Kota Malang Dekat Kampus Binus, Cafe, Plaza Araya, Rumah sakit Persad...","Rumah Jual Cluster Favorit Golf Araya Fasilitas Perumahan Lengkap Akses Mudah Kota Malang Dekat Kampus Binus, Cafe, Plaza Araya, Rumah sakit Persad...",2700000000.0,5.0,4.0,240.0,400.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang","Dijual Rumah Cantik dan Siap Masuk di Araya, Blimbing, Kota Malang  Luas Tanah 171 m²  Dimensi (10 x 17) m Luas Bangunan 140 m² Kamar Tidur 3 + 1...","Dijual Rumah Cantik dan Siap Masuk di Araya, Blimbing, Kota Malang  Luas Tanah 171 m²  Dimensi (10 x 17) m Luas Bangunan 140 m² Kamar Tidur 3 + 1...",1700000000.0,4.0,2.0,171.0,140.0,2026-02-15,Blimbing,Aman
"Soekarno Hatta, Malang",Spesifikasi : Luas Tanah : 410m2 Luas Bangunan : 575m2 Hadap : Selatan dan Barat Kamar Tidur Utama : 2 ( Kamar Mandi Dalam ) Kamar Tidur : 2 + 1 Ka...,Spesifikasi : Luas Tanah : 410m2 Luas Bangunan : 575m2 Hadap : Selatan dan Barat Kamar Tidur Utama : 2 ( Kamar Mandi Dalam ) Kamar Tidur : 2 + 1 Ka...,9800000000.0,3.0,3.0,410.0,575.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang","# Dijual Rumah Cantik Siap Huni di Griyashanta, Suhat Lowokwaru Malang #  Luas Tanah: 126 m2 Dimensi Tanah: 9 x 14 m Luas Bangunan : 150 m2 ( ± ) ...","# Dijual Rumah Cantik Siap Huni di Griyashanta, Suhat Lowokwaru Malang #  Luas Tanah: 126 m2 Dimensi Tanah: 9 x 14 m Luas Bangunan : 150 m2 ( ± ) ...",1900000000.0,4.0,3.0,126.0,150.0,2026-02-15,Lowokwaru,Aman
"Soekarno Hatta, Malang",Spesifikasi  Legalitas : sertifikat hak milik (SHM) Luas Tanah : 120 m² Luas Bangunan : 105 m² Kamar Tidur : 3+1 Kamar Mandi : 3+1 Sumber Air : P...,Spesifikasi  Legalitas : sertifikat hak milik (SHM) Luas Tanah : 120 m² Luas Bangunan : 105 m² Kamar Tidur : 3+1 Kamar Mandi : 3+1 Sumber Air : P...,2900000000.0,4.0,4.0,120.0,105.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang",Spesifikasi  Legalitas : Sertifikat hak milik (SHM) Luas Tanah : 165 m² Luas Bangunan : 250 m² Kamar Tidur : 4 Kamar Mandi : 2 Listrik : 2200 wat...,Spesifikasi  Legalitas : Sertifikat hak milik (SHM) Luas Tanah : 165 m² Luas Bangunan : 250 m² Kamar Tidur : 4 Kamar Mandi : 2 Listrik : 2200 wat...,1500000000.0,4.0,2.0,165.0,250.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang","Rumah Jual Hunian Nyaman Asri Dekat Pusat Kuliner, Sekolah Hwa Ind, Pasar Blimbing Dekat Jalan Poros 
 
 Spesifikasi :
 Sertifikat : SHM 
 Luas Tan...","Rumah Jual Hunian Nyaman Asri Dekat Pusat Kuliner, Sekolah Hwa Ind, Pasar Blimbing Dekat Jalan Poros 
 
 Spesifikasi :
 Sertifikat : SHM 
 Luas Tan...",930000000.0,4.0,3.0,99.0,150.0,2026-02-15,Lowokwaru,Aman
"Bandungrejosari, Malang","Rumah Dijual Malang Rumah SHM di daerah Janti
 \u2705 dekat ke jalan besar
 \u2705 lingkungan aman dan tenang
 \u2705 dekat Alfamart & Indomaret
 \...","Rumah Dijual Malang Rumah SHM di daerah Janti
 \u2705 dekat ke jalan besar
 \u2705 lingkungan aman dan tenang
 \u2705 dekat Alfamart & Indomaret
 \...",4000000000.0,6.0,4.0,484.0,484.0,2026-02-15,Sukun,Aman
"Lowokwaru, Malang","Rumah Jual Area Lowokwaru Dekat SMAK Santo Yusuf, SMK 5, SMA Sabillilah, Suhat, Kampus UB, Kawasan Tenang, Aman, Nyaman.  Spesifikasi : Sertifikat ...","Rumah Jual Area Lowokwaru Dekat SMAK Santo Yusuf, SMK 5, SMA Sabillilah, Suhat, Kampus UB, Kawasan Tenang, Aman, Nyaman.  Spesifikasi : Sertifikat ...",800000000.0,3.0,2.0,95.0,180.0,2026-02-15,Lowokwaru,Aman
"Lowokwaru, Malang",*Dijual Cepat Rumah 1 Lantai dekat Raya Suhat di Perumahan Eksklusif Green Orchid Lowokwaru Kota Malang*   Spesfikasi :  -Legalitas : SHM  -Luas ta...,*Dijual Cepat Rumah 1 Lantai dekat Raya Suhat di Perumahan Eksklusif Green Orchid Lowokwaru Kota Malang*   Spesfikasi :  -Legalitas : SHM  -Luas ta...,1300000000.0,2.0,1.0,90.0,50.0,2026-02-15,Lowokwaru,Aman
"Sawojajar, Malang",Spesifikasi: Luas tanah 148 m² Luas bangunan 120 m² Kamar tidut 4 Kamar mandi 1 Sertifikat Hak Milik Harga 750 juta  Dekat bandara Abdul Rachman ...,Spesifikasi: Luas tanah 148 m² Luas bangunan 120 m² Kamar tidut 4 Kamar mandi 1 Sertifikat Hak Milik Harga 750 juta  Dekat bandara Abdul Rachman ...,750000000.0,4.0,1.0,148.0,120.0,2026-02-15,Blimbing,Aman
"Araya, Malang",Dijual Rumah di Araya Masuk Kota Malang  Luas tanah : 136 m²  Luas Bangun : 160 m² Dimensi : 8 x 17 m Lantai  : 2 lantai Status setifikat : SHM M...,Dijual Rumah di Araya Masuk Kota Malang  Luas tanah : 136 m²  Luas Bangun : 160 m² Dimensi : 8 x 17 m Lantai  : 2 lantai Status setifikat : SHM M...,1100000000.0,3.0,2.0,136.0,160.0,2026-02-15,Blimbing,Aman
"Araya, Malang","Dijual Rumah Terawat  Siap Huni  di Araya depan, Blimbing  Malang  Luas tanah : 240 m²  Luas Bangun : 240 m² Dimensi : 10 x 24;m Lantai  : 2 lant...","Dijual Rumah Terawat  Siap Huni  di Araya depan, Blimbing  Malang  Luas tanah : 240 m²  Luas Bangun : 240 m² Dimensi : 10 x 24;m Lantai  : 2 lant...",2700000000.0,6.0,3.0,240.0,240.0,2026-02-15,Blimbing,Aman
"Kedungkandang, Malang","Sanata Village, Cemorokandang, Kedungkandang Kota Malang ⁠Luas Tanah  72m2  Dimensi 6 x 12 m Luas Bangunan :84m2 3 Kamar Tidur 2 Kamar mandi Kapa...","Sanata Village, Cemorokandang, Kedungkandang Kota Malang ⁠Luas Tanah  72m2  Dimensi 6 x 12 m Luas Bangunan :84m2 3 Kamar Tidur 2 Kamar mandi Kapa...",675000000.0,3.0,2.0,72.0,84.0,2026-02-15,Kedungkandang,Aman
"Araya, Malang",(H346)  Luas Tanah : 70 m2  Luas Bangunan : 25 m2  Kamar Tidur : 1 Kamar Mandi : 1  Lantai : 1 Listrik : 1300WATT Air : PDAM Sertifikat : Hak Milik...,(H346)  Luas Tanah : 70 m2  Luas Bangunan : 25 m2  Kamar Tidur : 1 Kamar Mandi : 1  Lantai : 1 Listrik : 1300WATT Air : PDAM Sertifikat : Hak Milik...,825000000.0,1.0,1.0,70.0,25.0,2026-02-15,Blimbing,Aman
"Sukun, Malang","Rumah 2 lantai di Sukun, Malang.  Dijual rumah di wilayah yang tenang dengan pemandangan Lokasi dipusat kota. Properti 2 lantai ini berada di lingk...","Rumah 2 lantai di Sukun, Malang.  Dijual rumah di wilayah yang tenang dengan pemandangan Lokasi dipusat kota. Properti 2 lantai ini berada di lingk...",600000000.0,4.0,3.0,95.0,80.0,2026-02-15,Sukun,Aman
"Sulfat, Malang","Kode YV Lokasi Sulfat, hunian nyaman, bangunan minimalis dan terawat, smart door system, full furnished","Kode YV Lokasi Sulfat, hunian nyaman, bangunan minimalis dan terawat, smart door system, full furnished",1500000000.0,2.0,2.0,120.0,100.0,2026-02-15,Blimbing,Aman
"Kedungkandang, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Kedungkandang, Malang.  Rumah ini menawarkan kelengkapan fasi...","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Kedungkandang, Malang.  Rumah ini menawarkan kelengkapan fasi...",375000000.0,2.0,1.0,71.0,41.0,2026-02-15,Kedungkandang,Aman
"Mulyorejo, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Mulyorejo, Malang.  Rumah ini menawarkan kelengkapan fasil...","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Mulyorejo, Malang.  Rumah ini menawarkan kelengkapan fasil...",300000000.0,2.0,1.0,50.0,36.0,2026-02-15,Sukun,Aman
"Kedungkandang, Malang","Rumah bergaya minimalist modern di Kedungkandang.  Cek segera rumah 1 lantai yang nyaman ini,  dijual dengan pemandangan asri yang menambah nilai e...","Rumah bergaya minimalist modern di Kedungkandang.  Cek segera rumah 1 lantai yang nyaman ini,  dijual dengan pemandangan asri yang menambah nilai e...",375000000.0,2.0,1.0,71.0,41.0,2026-02-15,Kedungkandang,Aman
"Buring, Malang","Rumah 1 lantai di Buring, Malang.  For sale rumah di wilayah yang nyaman dengan pemandangan Dipinggiran kota. Properti 1 lantai ini berada di lingk...","Rumah 1 lantai di Buring, Malang.  For sale rumah di wilayah yang nyaman dengan pemandangan Dipinggiran kota. Properti 1 lantai ini berada di lingk...",350000000.0,2.0,1.0,72.0,40.0,2026-02-15,Kedungkandang,Aman
"Lowokwaru, Malang","Dekat ke berbagai Universitas, dekat pusat perbelanjaan dan area kuliner","Dekat ke berbagai Universitas, dekat pusat perbelanjaan dan area kuliner",681000000.0,2.0,1.0,78.0,40.0,2026-02-15,Lowokwaru,Aman
"Merjosari, Malang",Bisa include furnish dengan menambah sejumlah biaya,Bisa include furnish dengan menambah sejumlah biaya,500000000.0,2.0,1.0,72.0,35.0,2026-02-15,Lowokwaru,Aman
"Klojen, Malang",Akses masuk sepeda motor,Akses masuk sepeda motor,450000000.0,4.0,3.0,80.0,170.0,2026-02-15,Klojen,Aman
"Blimbing, Malang","Tidak jauh dari jalan raya utama  Harga include BPHTB,AJB,BN,PPN","Tidak jauh dari jalan raya utama  Harga include BPHTB,AJB,BN,PPN",1500000000.0,3.0,3.0,72.0,110.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang",Bisa request include furnish,Bisa request include furnish,1050000000.0,2.0,2.0,72.0,50.0,2026-02-15,Blimbing,Aman
"Merjosari, Malang",Bisa include furnish dengan menambah sejumlah biaya,Bisa include furnish dengan menambah sejumlah biaya,700000000.0,3.0,2.0,84.0,65.0,2026-02-15,Lowokwaru,Aman
"Blimbing, Malang","Indent, pembelian cash bisa nego, lingkungan perumahan nyaman dan sudah banyak penghuni","Indent, pembelian cash bisa nego, lingkungan perumahan nyaman dan sudah banyak penghuni",1020000000.0,2.0,2.0,105.0,70.0,2026-02-15,Blimbing,Aman
"Lowokwaru, Malang",Spesifikasi Legalitas : sertifikat hak milik (SHM) Luas Tanah : 132 m² Luas Bangunan : 124 m² Kamar tidur : 3 Kamar mandi : 1 Sumber Air : Pdam D...,Spesifikasi Legalitas : sertifikat hak milik (SHM) Luas Tanah : 132 m² Luas Bangunan : 124 m² Kamar tidur : 3 Kamar mandi : 1 Sumber Air : Pdam D...,1500000000.0,3.0,1.0,132.0,124.0,2026-02-15,Lowokwaru,Aman
"Soekarno Hatta, Malang",Spesifikasi Legalitas : Sertifikat Hak Milik (SHM)  Luas Tanah : 400 m² Dimensi : 20 x 20  Luas Bangunan : 275 m² Kamar Tidur : 5 (3+2) Kamar Man...,Spesifikasi Legalitas : Sertifikat Hak Milik (SHM)  Luas Tanah : 400 m² Dimensi : 20 x 20  Luas Bangunan : 275 m² Kamar Tidur : 5 (3+2) Kamar Man...,4700000000.0,5.0,3.0,400.0,275.0,2026-02-15,Lowokwaru,Aman
"Araya, Malang",Spesifikasi : Luas Tanah 240m2 (12x20) Luas bangunan: 350m2 Bangunan 2 lantai Kamar tidur 4+1 Kamar mandi 4+1 Listrik 4400 watt PDAM dan sumur Sert...,Spesifikasi : Luas Tanah 240m2 (12x20) Luas bangunan: 350m2 Bangunan 2 lantai Kamar tidur 4+1 Kamar mandi 4+1 Listrik 4400 watt PDAM dan sumur Sert...,4970000000.0,5.0,5.0,240.0,350.0,2026-02-15,Blimbing,Aman
"Pisang Candi, Malang","Rumah bernuansa Villa 2 lantai di kawasan elite Tidar, Malang. Lantai 1 terdiri dari 1 master bedroom dengan kamar mandi, 2 kamar tidur dan 1 kamar...","Rumah bernuansa Villa 2 lantai di kawasan elite Tidar, Malang. Lantai 1 terdiri dari 1 master bedroom dengan kamar mandi, 2 kamar tidur dan 1 kamar...",2900000000.0,8.0,4.0,256.0,230.0,2026-02-15,Sukun,Aman
"Permata Jingga, Malang","Lokasi : PERMATA JINGGA Area West Dekat Gym, taman dan Club House  Luas Tanah : 300m²  Luas Bangunan : ±250 m² Lantai : 1.5 Kamar tidur : 4 Kama...","Lokasi : PERMATA JINGGA Area West Dekat Gym, taman dan Club House  Luas Tanah : 300m²  Luas Bangunan : ±250 m² Lantai : 1.5 Kamar tidur : 4 Kama...",4500000000.0,4.0,3.0,300.0,250.0,2026-02-15,Sukun,Aman
"Blimbing, Malang",Modern minimalis 2 lantai Area Borobudur Blimbing Luas tanah 151 Bangunan 200 5Kt 3Km Kokoh terawat,Modern minimalis 2 lantai Area Borobudur Blimbing Luas tanah 151 Bangunan 200 5Kt 3Km Kokoh terawat,1600000000.0,5.0,3.0,151.0,200.0,2026-02-15,Blimbing,Aman
"Tidar, Malang",Spesifikasi: Luas tanah 91 m² (6 x 15) Luas bangunan 52 m² 2 kamar tidur 1 kamar mandi Dapur Listrik token 1300W Air artesis Hadap Utara Carport ...,Spesifikasi: Luas tanah 91 m² (6 x 15) Luas bangunan 52 m² 2 kamar tidur 1 kamar mandi Dapur Listrik token 1300W Air artesis Hadap Utara Carport ...,884000000.0,2.0,1.0,91.0,52.0,2026-02-15,Sukun,Aman
"Sulfat, Malang",RUMAH 3 LANTAI HANYA 450M KE SUPERINDO SULFAT Jual Rumah SULFAT - Malang LT 126 LB 282 KT 4+1 KM 4+1 Dimensi 6 x 21 Listrik 3500 Rp 4.500.000.000  ...,RUMAH 3 LANTAI HANYA 450M KE SUPERINDO SULFAT Jual Rumah SULFAT - Malang LT 126 LB 282 KT 4+1 KM 4+1 Dimensi 6 x 21 Listrik 3500 Rp 4.500.000.000  ...,4500000000.0,5.0,5.0,126.0,282.0,2026-02-15,Blimbing,Aman
"Araya, Malang",Spesifikasi: Luas tanah 540m² (kurleb 23m x 24m) Luas bangunan 600m² (2 lantai) Kamar Tidur 6+1 Kamar Mandi 6+1 (4 dalam) Garasi 2 Carport 1 Guda...,Spesifikasi: Luas tanah 540m² (kurleb 23m x 24m) Luas bangunan 600m² (2 lantai) Kamar Tidur 6+1 Kamar Mandi 6+1 (4 dalam) Garasi 2 Carport 1 Guda...,7250000000.0,7.0,7.0,540.0,600.0,2026-02-15,Blimbing,Aman
"Sawojajar, Malang",Spesifikasi: Luas tanah 129 m² Luas bangunan 220 m² Kamar tidur 4 Kamar mandi 2 Sertifikat Hak Milik Harga 850 juta  Dekat bandara Abdul Rachman ...,Spesifikasi: Luas tanah 129 m² Luas bangunan 220 m² Kamar tidur 4 Kamar mandi 2 Sertifikat Hak Milik Harga 850 juta  Dekat bandara Abdul Rachman ...,850000000.0,4.0,2.0,129.0,220.0,2026-02-15,Blimbing,Aman
"Blimbing, Malang","DIJUAL Rumah Daerah Blimbing Dekat Dengan Kuliner Sulfat, RSIA Puri Bunda, Puskesmas Kendalkerep Sulfat, Superindo   Spesifikasi : Sertifikat : SHM...","DIJUAL Rumah Daerah Blimbing Dekat Dengan Kuliner Sulfat, RSIA Puri Bunda, Puskesmas Kendalkerep Sulfat, Superindo   Spesifikasi : Sertifikat : SHM...",1300000000.0,4.0,3.0,93.0,129.0,2026-02-15,Blimbing,Aman
"Sawojajar, Malang",Spesifikasi: Luas tanah 129 m² Luas bangunan 220 m² Kamar tidur 4 Kamar mandi 2 Sertifikat Hak Milik Harga 850 juta  Dekat bandara Abdul Rachman ...,Spesifikasi: Luas tanah 129 m² Luas bangunan 220 m² Kamar tidur 4 Kamar mandi 2 Sertifikat Hak Milik Harga 850 juta  Dekat bandara Abdul Rachman ...,850000000.0,4.0,2.0,129.0,220.0,2026-02-15,Blimbing,Aman
"Klojen, Malang","Dijual Rumah Hitung Tanah di jalan Bromo,  Lokasi sangat strategis untuk usaha, Dekat dengan Ayam Goreng Prambanan, Harmoni Cafe, Gereja HKBP Malan...","Dijual Rumah Hitung Tanah di jalan Bromo,  Lokasi sangat strategis untuk usaha, Dekat dengan Ayam Goreng Prambanan, Harmoni Cafe, Gereja HKBP Malan...",12000000000.0,6.0,3.0,665.0,300.0,2026-02-15,Klojen,Aman
